Graphic step = 4

RED:;167;257;446;1100;3003;9976;34948;80162;88090;63276;40664;32920;32170;29025;18785;15067;15771;15287;8842;6718;3319;1756;783;431;206;110;63;68;64;72;73;285;
GREEN:;0;0;0;0;0;27;551;1842;4132;16216;65215;149771;119944;47929;26743;17984;19642;16320;8531;4929;2017;768;337;200;120;101;103;77;83;59;39;224;
BLUE:;4;23;57;215;637;2530;12876;66905;119876;89743;59328;39644;25859;20468;15341;14847;15211;10285;4966;2252;1025;555;381;196;131;93;96;53;28;30;35;214;
RED&GREEN:
0;0;0;0;0;4509;92017;307614;690044;2708072;10890905;25011757;20030648;8004143;4466081;3003328;3280214;2725440;1424677;823143;336839;128256;56279;33400;20040;16867;17201;12859;13861;9853;6513;37408;
0;0;0;0;0;6939;141607;473394;1061924;4167512;16760255;38491147;30825608;12317753;6872951;4621888;5047994;4194240;2192467;1266753;518369;197376;86609;51400;30840;25957;26471;19789;21331;15163;10023;57568;
0;0;0;0;0;12042;245746;821532;1842872;7232336;29085890;66797866;53495024;21376334;11927378;8020864;8760332;7278720;3804826;2198334;899582;342528;150302;89200;53520;45046;45938;34342;37018;26314;17394;99904;
0;0;0;0;0;29700;606100;2026200;4545200;17837600;71736500;164748100;131938400;52721900;29417300;19782400;21606200;17952000;9384100;5421900;2218700;844800;370700;220000;132000;111100;113300;84700;91300;64900;42900;246400;
0;0;0;0;0;81081;1654653;5531526;12408396;48696648;195840645;449762313;360191832;143930787;80309229;54005952;58984926;49008960;25618593;14801787;6057051;2306304;1012011;600600;360360;303303;309309;231231;249249;177177;117117;672672;
0;0;0;0;0;269352;5496776;18375792;41220832;161770816;650584840;1494115496;1196561344;478139704;266788168;179408384;195948592;162808320;85105256;49171704;20121592;7661568;3361912;1995200;1197120;1007576;1027528;768152;828008;588584;389064;2234624;
0;0;0;0;0;943596;19256348;64374216;144405136;566716768;2279133820;5234196908;4191802912;1675022692;934614364;628504832;686448616;570351360;298141388;172258692;70490116;26840064;11777476;6989600;4193760;3529748;3599644;2690996;2900684;2061932;1362972;7828352;
0;0;0;0;0;2164374;44169262;147658404;331229384;1299906992;5227764830;12005942902;9614950928;3842084498;2143772366;1441633408;1574542004;1308243840;683862022;395118498;161686754;61564416;27014594;16032400;9619440;8096362;8256686;6172474;6653446;4729558;3126318;17956288;
0;0;0;0;0;2378430;48537590;162261780;363987880;1428467440;5744789350;13193327390;10565866960;4222065610;2355790870;1584210560;1730263780;1437628800;751495790;434195610;177677530;67653120;29686330;17618000;10570800;8897090;9073270;6782930;7311470;5197310;3435510;19732160;
0;0;0;0;0;1708452;34865076;116554392;261456432;1026083616;4126544340;9476909796;7589576544;3032755404;1692190068;1137955584;1242867192;1032664320;539807556;311887404;127627692;48595968;21324012;12655200;7593120;6390876;6517428;4872252;5251908;3733284;2467764;14173824;
